_id,barcode,brandCode,category,categoryCode,cpg,topBrand,name
5f7ba645be37ce23081c528c,511111016908,TEST BRANDCODE @1601939013444,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f7ba644be37ce23081c5289'}}",,test brand @1601939013444
5da605bea60b87376833e34a,511111805571,511111805571,Health & Wellness,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",,AFRIN® ORIGINAL NASAL SPRAY
5f493e72be37ce64d0ae36c5,511111816102,TEST BRANDCODE @1598635634821,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f493e72be37ce64d0ae36c2'}}",,test brand @1598635634821
5fd3acb6be37ce0d9386bb43,511111418214,TEST BRANDCODE @1607707830844,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",False,test brand @1607707830844
5952a596e4b08f39def64d03,511111800644,ZIMA,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",,Zima
5f3ff222be37ce1c81aa1e0d,511111715603,TEST BRANDCODE @1598026274609,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f3ff222be37ce1c81aa1e0c'}}",,test brand @1598026274609
5d6027f46d5f3b23d1bc7906,511111204923,CHESTERS,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",,CHESTER'S
5f77274bbe37ce6b592e90bb,511111716716,TEST BRANDCODE @1601644363784,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f77274bbe37ce6b592e90b9'}}",,test brand @1601644363784
5afda1dae4b0c11cfecd49f6,511111604471,CAPE COD,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",False,Cape Cod
5e710dbeee7f2d0b35b2a192,511111814085,COUNTRY CROCK PLANT BUTTER,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,"{'$ref': 'Cogs', '$id': {'$oid': '5e5ea9cc9c50da1291a6d074'}}",,COUNTRY CROCK PLANT BUTTER
5d66dad8a3a018093ab34729,511111205388,511111205388,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",,National Geographic Special Edition Magazine 
5daf5f65a60b87376833e363,511111206057,CHOCOLATE LUCKY CHARMS,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",,Chocolate Lucky Charms™
5f4802bdbe37ce0c8303373d,511111715832,TEST BRANDCODE @1598554813535,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4802bdbe37ce0c8303373c'}}",,test brand @1598554813534
5ffe3381be37ce5e01754c35,511111419303,,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5ffe3381be37ce5e01754c34'}}",False,test brand @1610494849657
5ffe2e38be37ce5e01754c23,511111019213,TEST BRANDCODE @1610493496975,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5ffe2e38be37ce5e01754c21'}}",False,test brand @1610493496975
5ffe347ebe37ce5e01754c3e,511111919315,TEST BRANDCODE @1610495102411,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5ffe347ebe37ce5e01754c3d'}}",False,test brand @1610495102410
5ffe336fbe37ce5e01754c31,511111119272,TEST BRANDCODE @1610494831056,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5ffe336ebe37ce5e01754c2e'}}",False,test brand @1610494831056
5ffe336fbe37ce5e01754c32,511111319283,TEST BRANDCODE @1610494831082,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5ffe336ebe37ce5e01754c2e'}}",False,test brand @1610494831082
5ffe336fbe37ce5e01754c30,511111619260,TEST BRANDCODE @1610494831023,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5ffe336ebe37ce5e01754c2e'}}",False,test brand @1610494831023
5ffe2e39be37ce5e01754c24,511111219224,TEST BRANDCODE @1610493497005,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5ffe2e38be37ce5e01754c21'}}",False,test brand @1610493497005
5ffe2e39be37ce5e01754c26,511111919247,TEST BRANDCODE @1610493497517,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",False,test brand @1610493497517
5ffe2e39be37ce5e01754c25,511111719236,TEST BRANDCODE @1610493497034,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5ffe2e38be37ce5e01754c21'}}",False,test brand @1610493497034
5ffe336fbe37ce5e01754c2f,511111419259,TEST BRANDCODE @1610494830985,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5ffe336ebe37ce5e01754c2e'}}",False,test brand @1610494830985
5ffe336fbe37ce5e01754c33,511111819295,TEST BRANDCODE @1610494831583,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",False,test brand @1610494831583
5fdce8dbbe37ce5fa8ba59c2,511111118442,TEST BRANDCODE @1608313051339,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fdce8dabe37ce5fa8ba59be'}}",False,test brand @1608313051339
5fdce8dbbe37ce5fa8ba59c1,511111918431,TEST BRANDCODE @1608313051291,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fdce8dabe37ce5fa8ba59be'}}",False,test brand @1608313051291
5fdce8dcbe37ce5fa8ba59c3,511111618454,TEST BRANDCODE @1608313052049,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",False,test brand @1608313052049
5fdce9cabe37ce5fa8ba59ce,511111318477,,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fdce9cabe37ce5fa8ba59cd'}}",False,test brand @1608313290565
